applicationId,totalMonthlyIncome,totalCommitments,debtServiceRatio,newDebtServiceRatio,savingsAmount,cashReserveMonths,ctosScore,creditScoreCategory,totalCreditUtilization,numberOfLatePayments,employmentTenureMonths,employmentStabilityScore,loanAmount,instalmentToIncomeRatio,approvalDecision
LA-2026-000944,4768.86,2600.94,0.539,0.936,13899.19,3.1,568,1,0.6,4,9,0.15,84505.4,0.397,0
LA-2026-000945,3390.88,1548.21,0.476,1.027,29357.89,8.8,373,0,0.38,1,12,0.2,39875.52,0.551,0
LA-2026-000946,1606.39,1714.14,0.85,3.968,25147.92,3.1,429,0,0.47,1,5,0.08,72378.61,3.118,0
LA-2026-000947,1713.78,1419.07,0.769,1.707,35484.11,11.3,537,0,0.43,0,6,0.1,57879.31,0.938,0
LA-2026-000948,1959.72,2229.14,1.018,1.732,58270.38,15.4,508,0,0.17,2,12,0.2,76916.45,0.715,0
LA-2026-000949,5544.85,3968.82,0.574,0.703,10775.64,2.2,688,2,0.2,2,27,0.45,54776.71,0.128,0
LA-2026-000950,4573.47,1762.72,0.362,0.467,11007.7,4.8,670,2,0.69,1,33,0.55,31729.58,0.105,1
LA-2026-000951,3811.76,3044.49,0.612,0.699,14067.01,4.0,639,1,0.12,0,6,0.1,31275.53,0.087,0
LA-2026-000952,4608.2,3123.62,0.569,0.831,10967.43,2.4,717,2,0.67,0,18,0.3,16754.97,0.261,1
LA-2026-000953,3996.23,3741.88,0.945,2.844,56566.98,5.0,552,1,0.25,0,17,0.28,88471.86,1.899,0
LA-2026-000954,3600.94,1757.38,0.412,1.567,38435.41,5.8,578,1,0.58,1,13,0.22,57466.83,1.155,0
LA-2026-000955,5278.46,1376.07,0.236,0.372,12941.59,6.0,671,2,0.57,0,33,0.55,42686.35,0.136,1
LA-2026-000956,1623.18,2203.85,1.035,2.037,16817.45,3.9,409,0,0.67,2,11,0.18,70218.21,1.002,0
LA-2026-000957,1900.37,1776.64,0.79,1.622,20466.77,5.6,342,0,0.36,2,3,0.05,80692.69,0.832,0
LA-2026-000958,3739.8,82.05,0.019,0.311,23138.41,16.8,697,2,0.3,0,22,0.37,82195.92,0.293,0
LA-2026-000959,2549.13,2416.06,0.812,1.431,17416.16,4.1,387,0,0.64,3,1,0.02,77372.27,0.619,0
LA-2026-000960,6675.65,1910.33,0.232,0.5,6621.42,1.6,818,3,0.21,0,102,1.0,50164.35,0.268,1
LA-2026-000961,4246.97,769.96,0.187,0.675,6241.52,2.2,648,1,0.15,0,14,0.23,44439.1,0.488,0
LA-2026-000962,4740.69,703.34,0.146,0.205,6348.09,6.4,580,1,0.4,0,11,0.18,12405.9,0.059,0
LA-2026-000963,3016.29,2890.17,0.806,0.869,4842.07,1.6,613,1,0.19,0,6,0.1,14760.85,0.063,0
LA-2026-000964,3417.94,1898.88,0.456,0.736,34369.53,11.2,574,1,0.29,0,7,0.12,71334.73,0.281,0
LA-2026-000965,5978.68,2947.8,0.491,0.738,39052.5,8.8,668,2,0.31,2,28,0.47,81571.05,0.247,1
LA-2026-000966,9855.07,4163.97,0.353,0.716,30420.28,3.6,807,3,0.55,0,83,1.0,96208.43,0.363,0
LA-2026-000967,9010.2,2065.46,0.192,0.948,18019.86,1.8,799,3,0.31,0,72,1.0,93635.47,0.756,1
LA-2026-000968,2144.53,3581.13,1.668,1.763,7487.04,2.0,407,0,0.45,0,12,0.2,13780.19,0.094,0
LA-2026-000969,3815.0,1557.61,0.329,0.607,14835.77,5.2,593,1,0.51,4,12,0.2,42058.11,0.278,0
LA-2026-000970,4004.29,580.97,0.118,0.707,19636.83,5.6,715,2,0.63,0,29,0.48,65165.75,0.589,0
LA-2026-000971,2303.91,2809.02,0.978,1.465,3073.52,0.7,347,0,0.66,0,3,0.05,87350.18,0.487,0
LA-2026-000972,3055.53,3064.46,1.01,1.907,42015.63,7.3,389,0,0.44,0,5,0.08,86967.23,0.897,0
LA-2026-000973,4402.66,69.63,0.015,0.391,1539.18,0.9,573,1,0.54,4,6,0.1,84893.06,0.376,0
LA-2026-000974,3537.48,498.51,0.148,1.141,25278.19,6.6,456,0,0.2,3,11,0.18,75588.78,0.993,0
LA-2026-000975,1869.32,2247.21,0.926,1.315,36141.23,11.3,410,0,0.62,2,1,0.02,62275.2,0.389,0
LA-2026-000976,2805.29,3731.71,1.052,1.491,28024.25,5.3,581,1,0.47,5,18,0.3,52101.61,0.439,0
LA-2026-000977,2787.91,1894.33,0.534,0.728,22692.39,8.8,623,1,0.23,1,13,0.22,33876.81,0.195,0
LA-2026-000978,1591.03,2356.64,1.275,3.126,17801.13,3.1,368,0,0.24,5,12,0.2,75756.23,1.852,0
LA-2026-000979,5487.86,2439.24,0.382,0.594,44822.08,11.8,652,2,0.59,1,31,0.52,92797.75,0.212,1
LA-2026-000980,5961.06,4193.19,0.56,0.58,4583.38,1.1,749,2,0.51,0,31,0.52,9730.77,0.02,1
LA-2026-000981,2504.93,668.07,0.238,0.93,38940.56,14.9,508,0,0.17,0,11,0.18,97496.79,0.692,0
LA-2026-000982,6549.61,1881.49,0.222,0.329,21776.02,7.8,765,3,0.2,0,64,1.0,30458.07,0.107,1
LA-2026-000983,4226.84,892.35,0.177,0.748,12796.4,3.4,714,2,0.42,0,18,0.3,33178.17,0.571,1
LA-2026-000984,6093.87,1855.75,0.319,1.482,61342.13,7.1,676,2,0.64,0,14,0.23,79371.57,1.163,1
LA-2026-000985,5530.58,3595.69,0.496,0.899,72919.66,11.2,804,3,0.5,0,69,1.0,93762.52,0.403,1
LA-2026-000986,14764.66,938.39,0.07,0.181,17824.17,7.3,814,3,0.38,0,114,1.0,48667.12,0.112,1
LA-2026-000987,1266.22,910.73,0.556,1.303,19359.74,9.1,398,0,0.42,1,6,0.1,27555.74,0.747,0
LA-2026-000988,3494.03,2516.22,0.541,1.391,30519.05,4.7,597,1,0.41,4,7,0.12,45980.68,0.85,0
LA-2026-000989,2144.55,2312.83,0.889,3.772,4823.59,0.5,470,0,0.35,4,7,0.12,87997.18,2.883,0
LA-2026-000990,10151.21,1801.22,0.147,0.234,46811.66,16.3,801,3,0.35,0,70,1.0,63251.42,0.087,1
LA-2026-000991,2729.75,4007.8,1.255,1.435,22349.22,4.9,438,0,0.43,4,4,0.07,34611.12,0.179,0
LA-2026-000992,4627.6,2376.77,0.395,0.601,28488.27,7.9,700,2,0.62,0,26,0.43,75084.1,0.206,1
LA-2026-000993,3963.09,1693.09,0.369,1.026,40384.94,8.6,639,1,0.4,0,15,0.25,68255.02,0.657,0
LA-2026-000994,5115.48,1047.45,0.176,0.347,22505.24,10.9,693,2,0.65,1,32,0.53,69499.98,0.171,0
LA-2026-000995,9475.6,1542.9,0.132,0.211,10163.39,4.1,720,2,0.67,0,56,0.93,55774.74,0.079,1
LA-2026-000996,6420.63,1796.25,0.272,0.647,12662.78,3.0,673,2,0.25,2,28,0.47,81224.02,0.375,0
LA-2026-000997,10938.38,1682.59,0.147,0.197,8337.97,3.7,795,3,0.58,0,102,1.0,29912.14,0.051,1
LA-2026-000998,6671.91,1711.0,0.216,0.23,1258.67,0.7,720,2,0.19,0,56,0.93,7875.89,0.014,1
LA-2026-000999,2261.21,299.66,0.107,0.643,4262.91,2.4,639,1,0.23,2,11,0.18,47911.54,0.536,0
LA-2026-001000,2796.7,1590.39,0.463,0.769,1782.25,0.7,536,0,0.6,0,4,0.07,12140.76,0.307,0
LA-2026-001001,8723.13,2167.04,0.202,0.267,14200.69,4.9,720,2,0.6,0,117,1.0,45189.87,0.066,1
LA-2026-001002,5942.71,3320.83,0.438,0.613,37571.95,8.1,671,2,0.36,1,22,0.37,98621.25,0.175,1
LA-2026-001003,3758.73,2524.37,0.543,0.86,11256.46,2.8,671,2,0.64,0,27,0.45,32553.47,0.317,0
LA-2026-001004,2751.53,3262.58,1.001,1.426,17879.63,3.8,517,0,0.69,2,8,0.13,98972.89,0.425,0
LA-2026-001005,2255.91,342.64,0.126,0.229,7263.27,11.7,583,1,0.19,2,16,0.27,18032.11,0.103,0
LA-2026-001006,5698.52,3824.51,0.579,0.805,35024.52,6.6,712,2,0.61,0,28,0.47,64144.78,0.226,1
LA-2026-001007,11415.17,165.86,0.016,0.056,18419.87,31.9,781,3,0.69,0,59,0.98,25797.01,0.04,1
LA-2026-001008,2924.04,3343.75,0.889,1.138,12002.49,2.8,567,1,0.58,4,14,0.23,31531.97,0.249,0
LA-2026-001009,4605.32,2723.86,0.473,1.44,28251.33,3.4,674,2,0.69,2,21,0.35,64990.93,0.967,0
LA-2026-001010,3757.57,4338.52,1.057,1.937,51912.84,6.5,609,1,0.66,2,10,0.17,82558.68,0.88,0
LA-2026-001011,1729.79,4055.18,2.003,2.238,11188.01,2.5,317,0,0.5,0,12,0.2,24624.99,0.234,0
LA-2026-001012,4714.39,1747.3,0.38,0.582,9219.2,3.4,696,2,0.65,2,32,0.53,29723.82,0.202,1
LA-2026-001013,3784.65,328.78,0.07,0.566,7596.35,2.8,613,1,0.26,0,9,0.15,52857.56,0.497,0
LA-2026-001014,1688.86,2967.23,1.437,2.466,39961.79,7.8,339,0,0.68,3,1,0.02,70942.58,1.029,0
LA-2026-001015,3521.47,2505.28,0.558,1.528,52460.43,7.7,555,1,0.37,0,18,0.3,97576.48,0.969,0
LA-2026-001016,4840.62,1865.03,0.291,0.536,55198.28,16.1,700,2,0.31,0,29,0.48,79487.34,0.245,1
LA-2026-001017,12168.94,2866.76,0.264,0.346,25143.27,6.7,747,2,0.47,0,62,1.0,37966.42,0.082,1
LA-2026-001018,2024.06,1728.0,0.744,1.117,10416.04,4.0,535,0,0.1,1,7,0.12,60897.59,0.373,0
LA-2026-001019,8585.97,2766.56,0.247,0.371,20332.46,4.9,813,3,0.23,0,45,0.75,59549.61,0.124,1
LA-2026-001020,6253.77,928.09,0.118,0.286,55747.81,24.7,728,2,0.5,0,66,1.0,89331.31,0.168,1
LA-2026-001021,6777.29,3657.43,0.41,1.093,45577.35,4.7,799,3,0.56,0,96,1.0,70751.62,0.683,1
LA-2026-001022,2468.21,1908.76,0.59,1.264,15026.82,3.7,407,0,0.53,3,7,0.12,25288.74,0.674,0
LA-2026-001023,7068.42,906.14,0.108,0.229,19404.43,10.1,814,3,0.41,0,42,0.7,34369.31,0.12,1
LA-2026-001024,6689.0,2416.87,0.303,0.411,5299.18,1.6,689,2,0.36,0,31,0.52,10074.96,0.109,1
LA-2026-001025,13208.17,51.66,0.004,0.083,15090.33,12.6,837,3,0.14,0,80,1.0,50652.95,0.079,1
LA-2026-001026,2747.82,2710.17,1.044,3.225,42336.45,5.1,565,1,0.17,5,10,0.17,65506.3,2.181,0
LA-2026-001027,1613.7,2372.32,1.145,1.768,55155.78,15.1,470,0,0.25,3,1,0.02,70644.87,0.623,0
LA-2026-001028,1689.38,2749.15,1.305,1.896,56656.18,14.2,365,0,0.37,3,4,0.07,84187.84,0.591,0
LA-2026-001029,4297.3,1851.33,0.348,0.895,4425.18,0.9,698,2,0.31,0,24,0.4,64048.23,0.547,0
LA-2026-001030,8033.09,1001.15,0.098,0.196,16911.18,8.5,829,3,0.45,0,26,0.43,22068.44,0.097,1
LA-2026-001031,1875.85,4491.63,1.817,2.297,5251.92,0.9,415,0,0.21,5,10,0.17,57945.62,0.48,0
LA-2026-001032,12419.74,3347.03,0.25,0.358,33505.03,7.0,825,3,0.59,0,47,0.78,72060.86,0.108,1
LA-2026-001033,2589.74,8.2,0.003,0.166,5639.12,11.2,625,1,0.11,0,8,0.13,16026.77,0.164,0
LA-2026-001034,4174.71,66.96,0.013,1.257,3863.98,0.6,718,2,0.36,0,33,0.55,72029.47,1.243,1
LA-2026-001035,5623.78,2609.11,0.352,0.59,30081.53,6.9,696,2,0.22,2,18,0.3,86592.75,0.238,1
LA-2026-001036,3833.68,2103.3,0.446,0.509,8231.8,3.4,593,1,0.65,0,15,0.25,18426.06,0.063,0
LA-2026-001037,3510.91,2938.96,0.648,1.311,13484.52,2.3,556,1,0.21,1,11,0.18,34871.79,0.663,0
LA-2026-001038,2886.14,772.93,0.253,0.347,3142.27,3.0,359,0,0.45,4,12,0.2,16368.7,0.095,1
LA-2026-001039,1812.69,459.71,0.207,1.153,5785.13,2.3,454,0,0.6,3,6,0.1,46773.94,0.946,0
LA-2026-001040,3775.97,1272.42,0.37,0.575,5511.04,2.8,641,1,0.67,0,10,0.17,51973.85,0.205,0
LA-2026-001041,1504.94,3204.97,2.046,3.369,21543.89,4.1,457,0,0.14,5,3,0.05,85772.39,1.323,0
LA-2026-001042,3427.53,623.36,0.183,0.94,40644.82,12.7,346,0,0.21,5,4,0.07,86157.2,0.758,0
LA-2026-001043,2451.49,1007.77,0.363,1.488,26546.51,6.4,483,0,0.47,2,5,0.08,36567.19,1.124,0
LA-2026-001044,1561.47,3388.96,1.811,1.97,3034.07,0.8,379,0,0.16,4,4,0.07,14595.81,0.159,0
LA-2026-001045,1577.43,44.22,0.021,1.165,15132.86,6.2,403,0,0.32,4,7,0.12,79664.2,1.143,0
LA-2026-001046,1533.47,3023.34,1.942,3.259,12591.15,2.5,530,0,0.1,3,1,0.02,68863.84,1.317,0
LA-2026-001047,3428.53,1971.8,0.485,0.771,16672.47,5.3,704,2,0.48,0,32,0.53,51603.84,0.286,1
LA-2026-001048,7110.03,299.54,0.035,0.152,38477.76,29.8,734,2,0.57,0,120,1.0,48735.2,0.117,1
LA-2026-001049,4365.67,848.1,0.156,0.651,34006.47,9.6,663,2,0.45,2,14,0.23,59209.05,0.495,0
LA-2026-001050,4097.94,70.69,0.013,0.215,7109.84,6.1,706,2,0.3,0,16,0.27,53530.49,0.202,0
LA-2026-001051,1610.57,1717.57,0.945,3.169,28758.56,5.0,339,0,0.42,0,6,0.1,46708.9,2.224,0
LA-2026-001052,10447.18,471.14,0.035,0.133,48018.37,26.7,803,3,0.1,0,53,0.88,92162.06,0.098,1
LA-2026-001053,4904.34,2680.48,0.434,0.777,1483.08,0.3,715,2,0.68,0,27,0.45,24528.96,0.342,0
LA-2026-001054,5733.91,3797.52,0.671,0.866,9981.76,2.0,676,2,0.5,2,29,0.48,45087.37,0.195,0
LA-2026-001055,8042.44,650.26,0.061,0.114,4403.65,3.6,821,3,0.42,0,32,0.53,24743.79,0.053,1
LA-2026-001056,2553.66,3062.34,1.056,3.051,35240.67,4.0,438,0,0.39,1,3,0.05,66484.22,1.995,0
LA-2026-001057,3889.87,2028.86,0.421,0.446,6410.39,3.0,558,1,0.54,5,13,0.22,8257.69,0.025,0
LA-2026-001058,2864.82,1372.09,0.444,1.06,11809.16,3.6,481,0,0.69,0,9,0.15,21881.1,0.616,0
LA-2026-001059,2707.23,1538.6,0.434,0.687,14235.17,5.8,596,1,0.69,5,8,0.13,37142.12,0.253,0
LA-2026-001060,2452.46,1795.44,0.573,1.242,61617.09,15.8,632,1,0.5,2,18,0.3,85393.16,0.669,0
LA-2026-001061,1871.25,2024.73,1.14,3.552,15762.46,2.5,365,0,0.18,1,11,0.18,49432.78,2.412,0
LA-2026-001062,11830.19,3138.59,0.237,0.263,14510.68,4.2,789,3,0.26,0,95,1.0,22487.36,0.026,1
LA-2026-001063,8805.74,3289.18,0.3,0.955,46374.03,4.4,745,2,0.49,0,68,1.0,82766.64,0.655,1
LA-2026-001064,5743.76,1677.08,0.231,0.501,72096.86,19.8,702,2,0.46,0,21,0.35,97877.92,0.271,1
LA-2026-001065,1866.11,2057.97,1.043,2.275,41263.87,9.2,393,0,0.34,2,9,0.15,78191.73,1.232,0
LA-2026-001066,3528.41,1104.38,0.343,0.821,72762.59,27.5,648,1,0.43,2,16,0.27,91071.21,0.478,0
LA-2026-001067,3903.37,3844.97,0.832,1.085,11843.15,2.4,616,1,0.7,0,16,0.27,49866.42,0.253,0
LA-2026-001068,2547.75,1063.14,0.381,1.909,23886.36,4.5,509,0,0.55,3,9,0.15,98332.95,1.527,0
LA-2026-001069,3436.43,284.99,0.066,0.698,45016.85,15.0,642,1,0.63,0,10,0.17,61457.8,0.631,0
LA-2026-001070,1448.46,1092.88,0.617,1.03,17063.65,9.4,349,0,0.5,4,11,0.18,31360.14,0.413,0
LA-2026-001071,5650.47,359.1,0.066,0.517,19523.51,6.9,682,2,0.23,2,20,0.33,28327.31,0.451,1
LA-2026-001072,2871.55,2823.56,0.806,3.138,39954.65,3.6,613,1,0.34,1,10,0.17,94534.02,2.332,0
LA-2026-001073,7265.63,1039.45,0.121,0.291,48943.01,19.5,726,2,0.33,0,63,1.0,74666.39,0.17,0
LA-2026-001074,7933.98,919.06,0.088,0.215,4150.19,1.8,840,3,0.3,0,73,1.0,76912.58,0.128,1
LA-2026-001075,7606.56,885.97,0.091,0.305,39590.67,13.3,830,3,0.49,0,50,0.83,91201.12,0.215,1
LA-2026-001076,2275.23,2393.57,0.866,1.63,42935.06,9.5,343,0,0.1,0,2,0.03,71691.19,0.764,0
LA-2026-001077,2450.13,2416.37,0.753,1.241,34124.72,8.6,602,1,0.19,2,14,0.23,91869.82,0.488,0
LA-2026-001078,2510.78,2816.1,0.903,3.15,17205.46,1.8,556,1,0.13,3,17,0.28,81807.53,2.247,0
LA-2026-001079,9190.89,130.22,0.015,0.121,16951.31,16.0,761,3,0.61,0,62,1.0,30531.08,0.106,1
LA-2026-001080,1606.98,1742.74,0.877,1.341,14305.42,5.4,454,0,0.41,0,7,0.12,48446.63,0.464,0
LA-2026-001081,3485.99,964.33,0.231,0.498,40981.68,19.7,640,1,0.35,2,16,0.27,81326.4,0.267,0
LA-2026-001082,9953.97,1085.14,0.089,0.151,6815.24,3.7,756,3,0.58,0,66,1.0,33458.45,0.062,1
LA-2026-001083,6619.97,3770.57,0.518,0.702,12588.29,2.5,669,2,0.32,2,12,0.2,85991.37,0.184,1
LA-2026-001084,2649.45,1497.18,0.451,0.923,52382.86,17.1,618,1,0.49,1,13,0.22,91305.67,0.472,0
LA-2026-001085,1982.53,584.48,0.232,3.057,22249.24,2.9,601,1,0.39,2,17,0.28,83607.96,2.825,0
LA-2026-001086,5523.6,3012.11,0.427,0.575,32577.69,8.0,735,2,0.17,0,75,1.0,55550.65,0.148,1
LA-2026-001087,12610.08,1926.91,0.129,0.54,13542.56,1.7,737,2,0.25,0,74,1.0,70373.35,0.411,0
LA-2026-001088,2649.23,4137.47,1.23,2.026,45124.06,6.6,586,1,0.42,4,12,0.2,61749.14,0.796,0
LA-2026-001089,9463.32,813.32,0.065,0.123,11798.75,7.7,739,2,0.26,0,90,1.0,30744.07,0.057,1
LA-2026-001090,1908.19,2807.97,1.249,1.62,5802.48,1.6,361,0,0.21,3,12,0.2,9722.09,0.37,0
LA-2026-001091,2619.96,1787.98,0.53,0.803,8617.34,3.2,472,0,0.31,0,11,0.18,56560.07,0.273,0
LA-2026-001092,3405.21,708.52,0.169,0.532,22666.25,10.2,690,2,0.37,2,33,0.55,64283.26,0.363,1
LA-2026-001093,7486.58,3403.06,0.349,0.485,15947.2,3.4,766,3,0.58,0,88,1.0,91736.13,0.136,1
LA-2026-001094,8969.04,3242.49,0.339,1.191,33943.14,3.0,756,3,0.65,0,49,0.82,95309.42,0.852,1
LA-2026-001095,14419.93,3758.48,0.283,0.341,9164.51,2.0,780,3,0.43,0,41,0.68,25665.36,0.058,1
LA-2026-001096,5751.39,2122.8,0.365,0.411,2763.87,1.2,699,2,0.66,2,26,0.43,15513.18,0.045,1
LA-2026-001097,1294.73,1870.65,1.184,2.672,5006.14,1.2,464,0,0.48,0,8,0.13,51889.52,1.488,1
LA-2026-001098,1865.22,3925.08,1.735,2.145,3011.73,0.6,502,0,0.14,1,4,0.07,20932.56,0.41,0
LA-2026-001099,3945.24,3702.17,0.78,1.155,6407.45,1.2,598,1,0.51,2,12,0.2,56332.33,0.374,0
LA-2026-001100,15161.15,1902.87,0.13,0.18,16893.16,6.4,727,2,0.24,0,100,1.0,30696.81,0.05,1
LA-2026-001101,2953.58,1180.78,0.345,0.758,40933.84,15.8,629,1,0.46,1,10,0.17,89301.08,0.413,0
LA-2026-001102,7490.51,2569.06,0.354,0.64,24132.2,5.2,668,2,0.57,1,30,0.5,45743.05,0.286,0
LA-2026-001103,6164.7,2112.89,0.294,0.49,63146.51,17.9,668,2,0.31,1,25,0.42,90630.24,0.196,1
LA-2026-001104,5628.66,204.59,0.034,0.135,9482.72,11.7,697,2,0.11,2,15,0.25,24754.57,0.101,1
LA-2026-001105,2127.85,3109.13,1.166,1.55,6176.14,1.5,494,0,0.57,5,2,0.03,52485.4,0.383,0
LA-2026-001106,2918.85,1037.21,0.293,0.518,31287.04,17.1,626,1,0.1,0,10,0.17,40274.34,0.225,0
LA-2026-001107,1698.43,1330.91,0.887,2.159,3498.59,1.1,344,0,0.5,0,10,0.17,22125.35,1.272,0
LA-2026-001108,3663.56,1030.97,0.22,0.506,2706.91,1.1,661,2,0.26,0,28,0.47,72534.37,0.286,0
LA-2026-001109,2576.81,2046.77,0.626,0.689,4457.05,2.0,331,0,0.63,1,4,0.07,6658.98,0.063,0
LA-2026-001110,2225.12,3034.74,1.025,1.556,41591.07,9.0,579,1,0.68,1,14,0.23,77806.83,0.531,0
LA-2026-001111,3496.91,785.42,0.221,0.731,20835.48,8.0,585,1,0.14,3,7,0.12,94316.82,0.509,0
LA-2026-001112,7800.06,651.08,0.077,0.109,1866.9,2.0,836,3,0.56,0,103,1.0,14617.34,0.032,0
LA-2026-001113,1665.55,1442.97,0.732,1.605,13011.91,4.1,537,0,0.35,3,2,0.03,54705.1,0.874,0
LA-2026-001114,2314.89,2313.42,0.837,1.075,27675.17,9.3,630,1,0.59,2,9,0.15,42160.7,0.239,0
LA-2026-001115,7123.21,301.95,0.036,0.194,1863.86,1.1,780,3,0.19,0,120,1.0,43917.04,0.159,1
LA-2026-001116,11375.24,3064.01,0.227,0.336,38325.1,8.4,767,3,0.2,0,75,1.0,60531.96,0.109,1
LA-2026-001117,2779.85,3197.18,1.085,1.128,3635.79,1.1,487,0,0.67,0,5,0.08,8060.49,0.043,0
LA-2026-001118,3366.27,753.22,0.185,0.687,59993.43,21.4,591,1,0.53,4,10,0.17,84610.75,0.503,1
LA-2026-001119,4832.4,3974.58,0.677,1.591,9702.19,1.0,704,2,0.63,0,35,0.58,62019.8,0.914,1
LA-2026-001120,6064.63,1885.85,0.304,0.817,8243.17,1.6,685,2,0.25,1,15,0.25,72418.77,0.513,0
LA-2026-001121,3147.37,2018.25,0.503,0.576,7779.08,3.4,711,2,0.53,0,33,0.55,12152.93,0.073,1
LA-2026-001122,1577.62,2832.17,1.464,1.741,6508.54,1.9,411,0,0.68,3,9,0.15,11880.01,0.276,0
LA-2026-001123,5369.45,3726.35,0.556,0.672,1092.32,0.2,683,2,0.24,2,21,0.35,25497.39,0.117,1
LA-2026-001124,5168.24,1222.82,0.245,0.505,58494.48,23.2,658,2,0.22,1,35,0.58,89227.65,0.26,1
LA-2026-001125,5698.14,1536.26,0.223,0.509,3620.24,1.0,682,2,0.42,0,28,0.47,82264.92,0.286,1
LA-2026-001126,3514.86,2698.77,0.771,1.61,48177.97,8.6,338,0,0.26,0,5,0.08,65238.24,0.839,0
LA-2026-001127,4825.65,1594.28,0.353,0.372,1727.52,1.0,558,1,0.41,0,14,0.23,6148.79,0.019,0
LA-2026-001128,8902.08,2701.32,0.293,0.323,3229.91,1.1,785,3,0.3,0,65,1.0,8988.81,0.03,1
LA-2026-001129,7646.7,2377.67,0.255,0.293,8241.13,3.0,757,3,0.54,0,54,0.9,15547.73,0.038,1
LA-2026-001130,3474.4,118.04,0.028,0.294,3926.77,3.2,657,2,0.51,0,33,0.55,77328.69,0.266,1
LA-2026-001131,4162.94,2064.19,0.446,0.755,28356.31,8.1,593,1,0.45,0,11,0.18,75592.68,0.309,0
LA-2026-001132,9066.37,952.05,0.089,0.122,6352.43,4.9,755,3,0.58,0,115,1.0,21057.48,0.032,1
LA-2026-001133,13691.92,3795.63,0.293,0.403,9627.4,1.8,809,3,0.7,0,46,0.77,78536.68,0.11,1
LA-2026-001134,2451.41,1253.01,0.417,0.667,4332.06,2.2,485,0,0.17,0,6,0.1,24807.3,0.251,0
LA-2026-001135,1205.28,1307.6,0.848,1.435,7015.56,3.2,383,0,0.63,1,9,0.15,65857.57,0.587,0
LA-2026-001136,5812.75,2652.27,0.356,0.444,17990.97,5.4,705,2,0.33,0,18,0.3,28935.72,0.088,1
LA-2026-001137,3235.48,1241.64,0.314,1.016,8437.85,2.1,617,1,0.14,2,10,0.17,92347.52,0.701,0
LA-2026-001138,9162.66,2025.13,0.169,0.267,39313.67,12.3,758,3,0.2,0,99,1.0,63200.73,0.098,1
LA-2026-001139,6605.91,4783.02,0.607,0.708,5112.84,0.9,655,2,0.44,1,31,0.52,17855.95,0.101,1
LA-2026-001140,4454.5,3673.07,0.664,0.721,7479.87,1.9,719,2,0.4,0,19,0.32,10070.6,0.057,1
LA-2026-001141,11566.97,1039.97,0.086,0.132,10384.87,6.5,792,3,0.45,0,80,1.0,18620.4,0.046,1
LA-2026-001142,7397.85,436.06,0.049,0.078,6795.94,9.7,791,3,0.33,0,42,0.7,16010.98,0.029,1
LA-2026-001143,10599.09,2097.9,0.205,0.563,23734.23,4.1,792,3,0.43,0,113,1.0,80804.97,0.357,1
LA-2026-001144,9317.37,4565.48,0.403,0.444,13234.47,2.6,761,3,0.1,0,66,1.0,22765.71,0.041,1
LA-2026-001145,7228.77,1149.33,0.135,0.949,30360.38,3.8,730,2,0.53,0,24,0.4,80522.8,0.814,1
LA-2026-001146,5140.96,2567.04,0.443,1.135,36898.17,5.6,651,2,0.21,2,23,0.38,88422.29,0.692,1
LA-2026-001147,2224.4,2024.07,0.743,0.889,3294.63,1.4,613,1,0.59,0,6,0.1,17761.28,0.146,0
LA-2026-001148,7597.99,2222.58,0.224,1.062,33896.48,3.2,780,3,0.26,0,90,1.0,97379.55,0.837,1
LA-2026-001149,8942.63,696.97,0.061,0.155,24443.8,13.8,753,3,0.23,0,47,0.78,74416.18,0.094,1
LA-2026-001150,4186.19,3831.62,0.935,0.974,3568.13,0.9,644,1,0.3,1,10,0.17,6590.98,0.038,0
LA-2026-001151,11380.69,1066.59,0.085,0.296,28301.08,7.6,744,2,0.64,0,99,1.0,84921.15,0.211,1
LA-2026-001152,2160.86,2927.32,1.143,2.202,11168.48,2.0,397,0,0.64,1,7,0.12,85951.24,1.059,0
LA-2026-001153,5917.48,3793.42,0.513,0.728,8179.36,1.5,768,3,0.39,0,93,1.0,95406.66,0.215,1
LA-2026-001154,5024.46,1306.14,0.202,0.367,18567.73,7.8,675,2,0.2,0,29,0.48,53790.7,0.165,1
LA-2026-001155,6304.65,2742.04,0.359,0.492,16187.88,4.3,655,2,0.63,1,18,0.3,53653.49,0.134,1
LA-2026-001156,2246.17,2910.98,0.973,1.421,56311.15,13.3,373,0,0.24,5,10,0.17,84547.48,0.447,0
LA-2026-001157,6093.48,897.2,0.113,0.233,18917.12,10.2,677,2,0.13,0,27,0.45,42124.18,0.12,1
LA-2026-001158,2851.68,1852.39,0.544,0.74,31689.28,12.6,351,0,0.22,1,12,0.2,48988.91,0.196,0
LA-2026-001159,2720.51,4576.17,1.555,1.693,5809.39,1.2,593,1,0.54,0,14,0.23,16386.38,0.137,0
LA-2026-001160,6151.31,3467.28,0.453,0.494,3840.82,1.0,713,2,0.55,0,26,0.43,7190.48,0.041,1
LA-2026-001161,5262.37,2659.38,0.417,0.833,47403.18,8.9,713,2,0.69,0,24,0.4,89164.06,0.416,1
LA-2026-001162,3638.12,3817.15,0.85,1.145,3660.87,0.7,588,1,0.41,5,10,0.17,15361.46,0.295,0
LA-2026-001163,3174.91,2022.37,0.682,0.754,4329.42,1.9,609,1,0.17,0,7,0.12,6952.0,0.071,0
